,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pisco,-13.7,-76.2167,75.2,64,0,8.05,PE,1611771279
1,saldanha,-33.0117,17.9442,66.2,59,0,20.71,ZA,1611771280
2,kapaa,22.0752,-159.319,73.4,88,90,13.8,US,1611770983
3,port elizabeth,-33.918,25.5701,66.2,94,75,6.91,ZA,1611771280
4,atuona,-9.8,-139.0333,78.13,77,4,15.35,PF,1611771280
5,pevek,69.7008,170.3133,-25.19,86,100,2.8,RU,1611770996
6,saint george,37.1041,-113.5841,39.99,60,90,16.11,US,1611771281
7,vestmannaeyjar,63.4427,-20.2734,35.6,69,75,36.82,IS,1611771152
8,ushuaia,-54.8,-68.3,44.6,70,40,19.57,AR,1611770920
9,rikitea,-23.1203,-134.9692,79.7,72,1,13.89,PF,1611771282
10,new richmond,45.123,-92.5366,10.99,52,40,3.44,US,1611771100
11,gobabis,-22.45,18.9667,80.96,31,96,7.78,NA,1611771282
12,thompson,55.7435,-97.8558,-14.8,76,75,4.61,CA,1611771140
13,airai,-8.9266,125.4092,61.65,100,100,3.53,TL,1611771282
14,norman wells,65.282,-126.8329,-32.8,68,40,3.44,CA,1611771282
15,avarua,-21.2078,-159.775,84.2,70,20,17.27,CK,1611771282
16,kavaratti,10.5669,72.642,80.8,66,8,7.61,IN,1611771229
17,verkhnevilyuysk,63.4453,120.3167,-46.97,77,91,3.44,RU,1611771283
18,punta arenas,-53.15,-70.9167,50.0,50,75,26.46,CL,1611771252
19,faanui,-16.4833,-151.75,80.69,73,49,14.5,PF,1611771284
20,sisimiut,66.9395,-53.6735,7.38,80,0,8.66,GL,1611771284
21,zapotiltic,19.6167,-103.4333,83.39,20,96,2.75,MX,1611771284
22,tasiilaq,65.6145,-37.6368,21.2,45,90,24.16,GL,1611770908
23,east london,-33.0153,27.9116,68.0,88,75,5.75,ZA,1611771284
24,santiago del estero,-27.7951,-64.2615,94.89,29,48,8.81,AR,1611771284
25,bluff,-46.6,168.3333,48.99,87,67,15.01,NZ,1611770880
26,jawhar,2.7809,45.5005,76.1,72,2,17.58,SO,1611771286
27,aksehir,38.3575,31.4164,35.47,84,91,13.38,TR,1611771286
28,muli,2.9167,73.5667,80.76,74,7,20.98,MV,1611771286
29,carnarvon,-24.8667,113.6333,71.6,83,0,18.41,AU,1611771287
30,husavik,66.0449,-17.3389,17.6,86,75,7.29,IS,1611771287
31,marawi,7.9986,124.2928,72.0,91,100,5.01,PH,1611771121
32,chulumani,-16.4096,-67.5263,82.94,41,47,6.17,BO,1611771287
33,kaduqli,11.0167,29.7167,83.07,16,26,8.97,SD,1611771288
34,albany,42.6001,-73.9662,30.99,63,93,15.01,US,1611770884
